Country,Code,Mean male height (cm),Mean female height (cm),Mean male BMI (kg/m_2),Mean female BMI (kg/m_2),Life expectancy at birth (years),Road traffic mortality rate (per 100 000 population),Mortality rate due to homicide (per 100 000 population),Total alcohol per capita (more 15 years of age) consumption (litres of pure alcohol),Density of medical doctors (per 10 000 population),Age-standardized prevalence of tobacco use among persons 15 years and older  (%),Happiness - Life evaluation (3-year average),Cost of Living Index,Price To Income Ratio
Cambodia,KHM,163.21760131,152.92656914,22.1,22.3,68.92399972,18.80000000000000,1.81849364600000,5.39822041300000,2.11000000000000,17.20000000000000,4.341,34.8,36.2
Cameroon,CMR,168.8311044,159.27534837,23.6,25.1,61.76934896,10.60000000000000,6.01474347600000,7.96683940400000,1.36000000000000,6.50000000000000,4.887,40.7,45.7
Canada,CAN,177.93796737,163.7441495,27.3,26.6,81.58276248,4.70000000000000,1.64143035300000,10.02711629200000,28.19000000000000,12.00000000000000,6.803,63.0,7.5
Cape Verde,CPV,173.71575008,161.82616446,23.7,25.3,73.16097765,16.50000000000000,13.92115529000000,3.82982133300000,7.30000000000000,11.00000000000000,,46.3,
Central African Republic,CAF,167.47820888,158.34042087,22,23.7,52.30772755,25.90000000000000,18.08281148000000,2.10794410700000,0.74000000000000,,,,
Chad,TCD,171.26308003,160.75631351,21.9,21.9,59.08581443,26.40000000000000,8.45979703300000,3.01708188500000,0.85000000000000,7.40000000000000,4.384,,
Chile,CHL,171.59568257,158.98313517,27.8,28.1,79.02404788,10.30000000000000,3.77203626100000,7.92903056100000,33.34000000000000,28.70000000000000,6.361,39.0,15.3
China,CHN,171.30325166,159.38142497,24.2,23.5,77.61619672,17.40000000000000,0.67168096900000,4.51923509300000,31.12000000000000,23.40000000000000,5.921,30.5,21.5
Colombia,COL,169.35083374,156.57033749,25.8,26.6,74.53297363,16.20000000000000,35.74528070000000,4.32159360500000,25.35000000000000,8.20000000000000,6.004,31.7,16.9
Comoros,COM,166.58931373,155.69733977,23.3,25.6,67.4970386,29.00000000000000,7.59541624600000,0.41397251100000,4.24000000000000,17.20000000000000,3.754,,
Congo,COG,168.31036551,157.87326569,22.3,24.1,63.17262301,8.40000000000000,9.32867770100000,6.35144875000000,1.73000000000000,15.40000000000000,5.030,,
Cook Islands,COK,174.98783682,163.49362087,32.7,33.1,,17.60000000000000,,,16.67000000000000,27.00000000000000,,,
Costa Rica,CRI,168.96985312,156.25988566,26.8,27.9,78.63053412,15.50000000000000,13.51692764000000,3.79815650800000,26.87000000000000,8.90000000000000,7.274,52.9,10.1
Cote d'Ivoire,CIV,167.52871935,158.52438164,23.4,24.2,63.5174083,20.60000000000000,10.95079057000000,4.49242208200000,1.66000000000000,8.80000000000000,5.102,44.8,
Croatia,HRV,180.50224326,165.73102816,28,26.8,76.8616792,8.10000000000000,0.78264064900000,10.84670020000000,39.09000000000000,37.00000000000000,5.870,52.4,12.8
Cuba,CUB,171.73244319,158.39666394,25.2,26,73.67333077,5.40000000000000,5.00936390700000,5.63253519300000,95.42000000000000,17.40000000000000,,41.8,51.8
Cyprus,CYP,174.93172004,162.16106929,27.5,26,81.912741,3.90000000000000,1.43074815300000,5.20817296400000,35.56000000000000,35.60000000000000,5.942,58.8,8.1
